fid;code_offic;nom_offici;arbo_prc;arbo_za;arbo_epza;arbo_zu;arbo_epzu;arbu_prc;arbu_za;arbu_epza;arbu_zu;arbu_epzu;herb_prc;herb_za;herb_epza;herb_zu;herb_epzu;tot_arbo;tot_arbu;tot_herb;prct_arbo;prct_arbu;prct_herb;tot_arboru_pub_za;tot_arboru_pub_zu;tot_arboru_pv_za;tot_arboru_pv_zu;tot_arboru_parcs;prct_arboru_pub_za;prct_arboru_pub_zu;prct_arboru_pv_za;prct_arboru_pv_zu;prct_arboru_parcs;s_veg_tot;prct_veg_tot;s_arboru;prct_arboru;prct_hors_tt;co2_pi_ok;es_25_ok;es25_ok;cos_avg_ok;txrboru_ok;co2_pi;es25_pi;pot_ss_oc_dp;pot_df;pot_df_plhg_cms;pot_ext;cos_avg;txarboru_avg
33;13078;Port-Saint-Louis-du-Rhône;1.5;0.69;0.01;17.09;5.22;0.3;0.59;0.01;13.41;1.48;1.53;0.86;0.01;16.04;2.96;19.28;14.3;18.43;10.19413784498434;7.561004729423032;9.744707493934717;0.02;6.7;1.26;23.8;1.8;0.06;19.95;3.75;70.88;5.36;52.01;26.54;33.58;17.13;72.5001499316579;1.86;1663;1663;0.4;12;1.8600242887667888;1662.7940868131868;625;258;521;123;0.44977456647398834;12.106289017341041
95;13069;Pélissanne;1.22;0.77;0.05;54.64;6.66;0.17;0.78;0.04;45.88;2.28;0.59;1.24;0.06;37.83;2.17;56.63;46.83;39.66;18.694721537327446;15.459541048791175;13.092577364831476;0.09;8.94;1.46;91.58;1.39;0.09;8.64;1.41;88.52;1.34;143.12;47.22;103.46;34.13;52.753160049049896;2.06;1943;1943;0.4;30;2.0638420877458397;1943.4046996974282;2134;553;532;396;0.39629761136216923;29.753502259522264
57;13029;Cornillon-Confoux;0.36;0.98;0.03;8.36;0.68;0.1;0.71;0;4.85;0.32;0.01;1.81;0.01;7;0.35;9.7;5.66;8.82;23.640848147217394;13.794556753943349;21.496111408088396;0.03;1;1.66;12.21;0.46;0.2;6.51;10.81;79.49;2.99;24.18;58.89;15.36;37.41;41.06848369075086;2.45;2290;2290;0.4;25;2.4479280710280373;2289.891933457944;267;0;0;0;0.4391986062717769;25.180209059233448
49;13093;Saint-Estève-Janson;0.41;1.3;0.06;5.96;0.22;0.08;0.67;0.04;3.01;0.05;0.09;1.84;0.04;3.25;0.07;7.67;3.76;5.18;23.07508327012229;11.311905227595801;15.58395454227294;0.1;0.27;1.87;8.7;0.49;0.87;2.36;16.36;76.12;4.29;16.61;49.95;11.43;34.37;50.029056960008965;2.14;1927;1927;0.3;35;2.1387906408345754;1926.8483725782414;97;221;20;0;0.25294117647058817;35.03661764705882
13;13048;Jouques;1.28;1.6;0.15;16.21;1.13;0.21;0.49;0.03;9.18;0.35;0.24;2.71;0.1;12.15;0.47;19.09;9.88;15.1;22.11156130776756;11.443804385581117;17.490024921282878;0.18;1.48;1.91;23.91;1.49;0.62;5.11;6.59;82.53;5.14;44.07;51.02;28.97;33.54;48.95460938536844;2.59;2225;2225;0.8;23;2.592032156773385;2225.4187467243933;627;64;0;80;0.8088196721311472;22.735737704918037
61;13207;Marseille 7e Arrondissement;4.18;1.08;0.17;59.99;5.32;1.54;1.19;0.08;38.7;2.06;2.96;1.58;0.13;34.97;2.58;65.25;41.43;39.51;16.801405789487543;10.667927078290711;10.17354088494487;0.25;7.38;2.02;91.31;5.72;0.23;6.92;1.89;85.59;5.36;146.19;37.6;106.68;27.44;62.357126247276874;1.4;1335;1335;1.1;21;1.4025310761351295;1334.5953795896803;1089;567;86;0;1.0663817980022208;21.438470218275974
89;13037;La Fare-les-Oliviers;0.16;2.03;0.22;27.8;2.35;0.07;0.46;0.06;36.14;1.41;0.18;0.91;0.11;24.14;1.08;29.99;36.67;25.23;13.100252087476912;16.018214206328054;11.020985667457236;0.28;3.76;2.21;60.18;0.23;0.42;5.64;3.32;90.28;0.35;91.89;40.11;66.66;29.1;59.86054803873779;1.98;1944;1944;0.4;25;1.9819132519897005;1944.3645809925094;1728;514;13;181;0.37161623898889296;24.99693220988129
93;13035;Eyguières;0.47;1.67;0.22;60.7;5.68;0.12;0.98;0.12;40.85;1.33;0.36;1.09;0.19;43.69;1.65;62.84;41.95;45.14;22.051474966501075;14.72086847302228;15.84028612329501;0.34;7.01;2.31;94.54;0.59;0.32;6.69;2.2;90.22;0.56;149.93;52.59;104.79;36.75;47.38737043718163;2.15;1987;1987;0.4;28;2.151730304386143;1986.9952202562538;1538;1459;0;150;0.4434342560553634;27.609026816609013
42;13204;Marseille 4e Arrondissement;4.59;1.6;0.11;36.54;5.01;1.12;1.03;0.02;15.4;1.07;2.04;1.99;0.03;22.13;3.1;42.73;17.55;26.16;14.830033621093511;6.090968641474167;9.079187445069186;0.13;6.08;2.5;45.86;5.71;0.22;10.09;4.15;76.08;9.47;86.44;29.96;60.28;20.9;69.99981029236314;1.14;1151;1151;1.5;17;1.1431339865158765;1151.4833490430622;966;1615;62;0;1.5251923566878982;16.806580891719747
60;13016;La Bouilladisse;0.34;2.99;0.68;45.69;2.96;0.11;0.9;0.11;35.77;1.13;0.14;2.57;0.27;41.26;1.48;49.02;36.78;43.97;21.604858427101707;16.210254854116705;19.379143717659364;0.79;4.09;3.1;77.37;0.45;0.92;4.77;3.61;90.17;0.52;129.77;57.14;85.8;37.78;42.805743001122224;2.04;1935;1935;0.3;34;2.040442713140239;1934.7349099983637;1242;1522;143;490;0.2898057713651498;33.980238623751404
46;13059;Meyrargues;1.04;3.26;0.84;11.69;1.97;0.12;0.82;0.1;8.48;0.78;0.7;13.83;0.27;10.56;2.04;15.99;9.42;25.09;14.776203254158164;8.704930247290173;23.185424618313213;0.94;2.75;3.14;17.42;1.16;3.7;10.82;12.36;68.56;4.57;50.5;46.64;25.41;23.47;53.33344188023845;2.19;2042;2042;0.7;21;2.1858396406943883;2042.1750321625623;357;75;110;49;0.7041295546558705;21.13673414304993
104;13075;Plan-de-Cuques;2.94;1.98;0.16;48.48;4.79;1.29;1.68;0.09;44.45;2.53;2.06;2.99;0.03;28.47;1.8;53.4;47.42;33.52;17.62296060162092;15.649453028630417;11.062202984388266;0.25;7.32;3.41;85.61;4.23;0.25;7.26;3.38;84.91;4.2;134.34;44.29;100.82;33.24;55.6653833853604;1.69;1618;1618;0.3;32;1.6923241535211901;1618.0519783380523;1867;304;356;42;0.3174670619235838;32.44565546772066
25;13088;Le Rove;0.09;2.33;0.75;25.64;1.3;0.06;3.71;1.87;21.63;0.93;0.08;2.83;1.58;16.01;0.44;28.06;25.4;18.92;12.71326680281689;11.508088980454346;8.572167067330563;2.62;2.23;3.42;45.04;0.15;4.9;4.17;6.4;84.25;0.28;72.38;32.76;53.46;24.2;67.2064771493982;1.98;1885;1885;0.3;27;1.9826025367578635;1885.1692778708357;930;19;60;0;0.28853293413173636;26.988035928143724
52;13202;Marseille 2e Arrondissement;0.29;2.32;0.14;8.06;3.59;0.15;1.58;0.07;3.01;0.69;0.3;3.2;0.15;7.11;2.8;10.67;4.74;10.61;3.0564840727014064;1.3578007970576071;3.0392967208399178;0.21;4.28;3.69;6.79;0.44;1.36;27.77;23.95;44.06;2.86;26.02;7.44;15.41;4.41;92.54641840940107;1.08;1135;1135;3;3;1.0848652029277905;1135.334345798339;199;431;514;0;3.0043889955214342;2.6639411388355723
50;13118;Coudoux;0.15;2.27;0;14.55;1.21;0.15;1.68;0;18.39;0.86;0.15;3.43;0;12.12;0.64;16.97;20.22;15.7;13.61614088195224;16.22382844036973;12.597136820662943;0;2.07;3.95;30.87;0.3;0;5.57;10.62;83.01;0.81;52.89;42.41;37.19;29.82;57.562893857015084;2.02;1941;1941;0.3;28;2.022487714431804;1940.8135053048702;960;315;82;200;0.28046743295019155;28.443042145593857
62;83120;Saint-Zacharie;0.29;4.39;1.14;26.24;2.48;0.06;0.98;0.08;22.01;1.08;0.3;3.06;0.47;22.37;1.11;30.92;23.05;25.73;19.462308989801954;14.508610032824548;16.195511329482674;1.22;3.56;4.15;44.69;0.35;2.26;6.6;7.69;82.81;0.65;79.7;50.11;53.97;33.94;49.833569647890826;2.23;2008;2008;0.6;25;2.229491797239075;2008.3986253407193;1184;13;155;127;0.616467020470053;25.299833206974988
11;13098;Saint-Mitre-les-Remparts;0.89;2.89;0.34;28.14;2.25;0.21;1.81;0.16;20.63;1.1;0.14;1.91;0.3;11.82;0.65;31.92;22.65;13.87;15.581326056629058;11.05629809469449;6.770457155559054;0.5;3.35;4.2;45.42;1.1;0.92;6.14;7.7;83.23;2.02;68.44;33.38;54.57;26.61;66.5919186931174;2.01;1903;1903;0.4;23;2.0132224237600536;1903.2618483579088;1212;299;0;434;0.3905839057899901;23.46222767419039
90;13023;Ceyreste;0.78;4.32;0.94;49.74;3.74;0.16;1.44;0.51;38.05;1.84;0.04;2.21;0.28;28.7;1.44;54.84;39.65;30.95;23.66328261579028;17.10884674901686;13.354824889837877;1.45;5.58;4.31;82.21;0.94;1.53;5.91;4.56;87;0.99;125.44;54.05;94.49;40.72;45.873045745354986;2.28;2107;2107;0.4;36;2.2802406626816447;2107.4732237452336;1212;136;81;30;0.3682791817087847;35.76362214199757
53;13105;Sénas;0.16;3.16;0.22;20.16;2.59;0.01;1.5;0.06;18.86;0.65;0.06;4.58;0.18;24.57;1.25;23.48;20.37;29.21;11.523171415102965;9.996891044533534;14.335257113933459;0.28;3.24;4.38;35.78;0.17;0.64;7.39;9.99;81.6;0.39;73.06;35.84;43.85;21.51;64.14468042643004;2.15;1945;1945;0.4;20;2.1517784220599703;1944.747627419012;1211;13;205;275;0.41929383602633125;19.838025134649904
64;13074;Peyrolles-en-Provence;2.04;3.15;0.23;30.34;3.1;1.1;1.64;0.08;21.92;0.67;1.17;7.92;0.2;23.87;1.24;35.53;24.66;32.96;16.835654406936683;11.684977136928191;15.617876984312781;0.31;3.77;4.48;48.49;3.14;0.52;6.26;7.44;80.56;5.22;93.15;44.11;60.19;28.5;55.86149147182235;2.22;1981;1981;0.4;30;2.223308834998545;1981.3740510233777;846;34;137;90;0.43479553903345736;29.61642379182156
